"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","120.3",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","109.1",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","104.2",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","100",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","86.5",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","79.9",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","90.9",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","85.3",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","72.5",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","73.4",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","75.2",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","66",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","59.9",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","64.7",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","59.9",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","59.7",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","62.6",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","65.2",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","66.8",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","61.3",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","60.8",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","63.1",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","61.1",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","61.6",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","FOOD COMMODITIES","FOOD COMMODITIES - INDEX FOR PRICE RECEIVED, 2011","TOTAL","NOT SPECIFIED","64.4",""
